target,arch,units,num_layers,dropout,lr,lookback,val_rmse_scaled,is_best,test_MAPE,test_RMSE,test_MAE,test_R2
BOD,LSTM,32,1,0.0,0.001,4,0.16643584932876032,False,,,,
BOD,LSTM,32,1,0.0,0.001,8,0.16754151813666834,False,,,,
BOD,LSTM,32,1,0.0,0.0001,4,0.17460242605356377,False,,,,
BOD,LSTM,32,1,0.0,0.0001,8,0.17624586839432582,False,,,,
BOD,LSTM,32,2,0.1,0.001,4,0.17150374587711525,False,,,,
BOD,LSTM,32,2,0.2,0.001,4,0.17187369909661157,False,,,,
BOD,LSTM,32,2,0.1,0.001,8,0.16786154630539085,False,,,,
BOD,LSTM,32,2,0.2,0.001,8,0.16769948801759785,False,,,,
BOD,LSTM,32,2,0.1,0.0001,4,0.1792941066220719,False,,,,
BOD,LSTM,32,2,0.2,0.0001,4,0.1796824885789044,False,,,,
BOD,LSTM,32,2,0.1,0.0001,8,0.17852274840852408,False,,,,
BOD,LSTM,32,2,0.2,0.0001,8,0.1784591977945155,False,,,,
BOD,LSTM,64,1,0.0,0.001,4,0.16729633051244863,False,,,,
BOD,LSTM,64,1,0.0,0.001,8,0.16844403070234865,False,,,,
BOD,LSTM,64,1,0.0,0.0001,4,0.17804766741413508,False,,,,
BOD,LSTM,64,1,0.0,0.0001,8,0.17625065541314625,False,,,,
BOD,LSTM,64,2,0.1,0.001,4,0.1644948100087289,False,,,,
BOD,LSTM,64,2,0.2,0.001,4,0.16455892299353211,False,,,,
BOD,LSTM,64,2,0.1,0.001,8,0.16440851779976828,False,,,,
BOD,LSTM,64,2,0.2,0.001,8,0.16436356531918217,False,,,,
BOD,LSTM,64,2,0.1,0.0001,4,0.17699786161758185,False,,,,
BOD,LSTM,64,2,0.2,0.0001,4,0.17708904107562864,False,,,,
BOD,LSTM,64,2,0.1,0.0001,8,0.1771788044297801,False,,,,
BOD,LSTM,64,2,0.2,0.0001,8,0.1772369197436438,False,,,,
BOD,GRU,32,1,0.0,0.001,4,0.1638332695578467,False,,,,
BOD,GRU,32,1,0.0,0.001,8,0.16669485290924532,False,,,,
BOD,GRU,32,1,0.0,0.0001,4,0.17243203971917284,False,,,,
BOD,GRU,32,1,0.0,0.0001,8,0.1757432218318974,False,,,,
BOD,GRU,32,2,0.1,0.001,4,0.16467162316318726,False,,,,
BOD,GRU,32,2,0.2,0.001,4,0.1646847183781625,False,,,,
BOD,GRU,32,2,0.1,0.001,8,0.16435987451896114,False,,,,
BOD,GRU,32,2,0.2,0.001,8,0.1643846101816218,False,,,,
BOD,GRU,32,2,0.1,0.0001,4,0.1780186653637632,False,,,,
BOD,GRU,32,2,0.2,0.0001,4,0.17776185127243468,False,,,,
BOD,GRU,32,2,0.1,0.0001,8,0.1778005053559149,False,,,,
BOD,GRU,32,2,0.2,0.0001,8,0.17791853198727112,False,,,,
BOD,GRU,64,1,0.0,0.001,4,0.16577089559593755,False,,,,
BOD,GRU,64,1,0.0,0.001,8,0.16622281642830172,False,,,,
BOD,GRU,64,1,0.0,0.0001,4,0.1792336337852632,False,,,,
BOD,GRU,64,1,0.0,0.0001,8,0.17760563683856875,False,,,,
BOD,GRU,64,2,0.1,0.001,4,0.16398250491533037,False,,,,
BOD,GRU,64,2,0.2,0.001,4,0.16416250632270157,False,,,,
BOD,GRU,64,2,0.1,0.001,8,0.1644305746062083,False,,,,
BOD,GRU,64,2,0.2,0.001,8,0.16442590202758667,False,,,,
BOD,GRU,64,2,0.1,0.0001,4,0.1705695880438927,False,,,,
BOD,GRU,64,2,0.2,0.0001,4,0.17083082114869133,False,,,,
BOD,GRU,64,2,0.1,0.0001,8,0.17659018476725288,False,,,,
BOD,GRU,64,2,0.2,0.0001,8,0.17656872451410444,False,,,,
BOD,GRU,32,1,0.0,0.001,4,0.1638332695578467,True,47.606978349639135,1.437483920699346,1.257043715446226,-0.2089935959821405
COD,LSTM,32,1,0.0,0.001,4,0.2214084939297806,False,,,,
COD,LSTM,32,1,0.0,0.001,8,0.2233187052902617,False,,,,
COD,LSTM,32,1,0.0,0.0001,4,0.22308113316068598,False,,,,
COD,LSTM,32,1,0.0,0.0001,8,0.2240641762259762,False,,,,
COD,LSTM,32,2,0.1,0.001,4,0.2231244996009152,False,,,,
COD,LSTM,32,2,0.2,0.001,4,0.22314956158533605,False,,,,
COD,LSTM,32,2,0.1,0.001,8,0.22487357216848755,False,,,,
COD,LSTM,32,2,0.2,0.001,8,0.22487859430775028,False,,,,
COD,LSTM,32,2,0.1,0.0001,4,0.22460084252114537,False,,,,
COD,LSTM,32,2,0.2,0.0001,4,0.22462788447532514,False,,,,
COD,LSTM,32,2,0.1,0.0001,8,0.22504752504911313,False,,,,
COD,LSTM,32,2,0.2,0.0001,8,0.22504364093770776,False,,,,
COD,LSTM,64,1,0.0,0.001,4,0.22193680023452586,False,,,,
COD,LSTM,64,1,0.0,0.001,8,0.223626865491128,False,,,,
COD,LSTM,64,1,0.0,0.0001,4,0.22265567511768747,False,,,,
COD,LSTM,64,1,0.0,0.0001,8,0.22423142387378506,False,,,,
COD,LSTM,64,2,0.1,0.001,4,0.22378812102887008,False,,,,
COD,LSTM,64,2,0.2,0.001,4,0.22382016392475568,False,,,,
COD,LSTM,64,2,0.1,0.001,8,0.2249332593903404,False,,,,
COD,LSTM,64,2,0.2,0.001,8,0.22493184103687908,False,,,,
COD,LSTM,64,2,0.1,0.0001,4,0.2239212408324997,False,,,,
COD,LSTM,64,2,0.2,0.0001,4,0.22392597622702787,False,,,,
COD,LSTM,64,2,0.1,0.0001,8,0.22494003635978727,False,,,,
COD,LSTM,64,2,0.2,0.0001,8,0.22494533921255083,False,,,,
COD,GRU,32,1,0.0,0.001,4,0.21987644695285152,False,,,,
COD,GRU,32,1,0.0,0.001,8,0.22274505584273221,False,,,,
COD,GRU,32,1,0.0,0.0001,4,0.22180834494316262,False,,,,
COD,GRU,32,1,0.0,0.0001,8,0.22328494472663488,False,,,,
COD,GRU,32,2,0.1,0.001,4,0.22281473375353705,False,,,,
COD,GRU,32,2,0.2,0.001,4,0.22280985101674045,False,,,,
COD,GRU,32,2,0.1,0.001,8,0.2245518599138633,False,,,,
COD,GRU,32,2,0.2,0.001,8,0.22458115375525123,False,,,,
COD,GRU,32,2,0.1,0.0001,4,0.22308872384809555,False,,,,
COD,GRU,32,2,0.2,0.0001,4,0.22314061000725893,False,,,,
COD,GRU,32,2,0.1,0.0001,8,0.22456908619324065,False,,,,
COD,GRU,32,2,0.2,0.0001,8,0.2245714245123544,False,,,,
COD,GRU,64,1,0.0,0.001,4,0.22183995641744572,False,,,,
COD,GRU,64,1,0.0,0.001,8,0.22418172510673118,False,,,,
COD,GRU,64,1,0.0,0.0001,4,0.22336692495751923,False,,,,
COD,GRU,64,1,0.0,0.0001,8,0.22512227749171174,False,,,,
COD,GRU,64,2,0.1,0.001,4,0.22262947724652496,False,,,,
COD,GRU,64,2,0.2,0.001,4,0.2226699456804603,False,,,,
COD,GRU,64,2,0.1,0.001,8,0.22525457113689312,False,,,,
COD,GRU,64,2,0.2,0.001,8,0.22526152101514296,False,,,,
