target,model,order,seasonal_order,MAPE,sMAPE,RMSE,MAE,R2,MASE,beats_naive
BOD,naive_persistence,-,-,34.73690358877116,30.40211070237439,1.3500298682478438,1.064516129032258,-0.0663622526636225,0.7115749525616698,1.0
BOD,seasonal_naive_52,-,-,69.74170283593033,50.64569738963994,2.506845466627009,2.056451612903226,-2.6768264840182647,1.374633431085044,0.0
COD,naive_persistence,-,-,20.597741426335304,17.392503196674124,6.46664830670268,3.4838709677419355,-0.5442949353027715,0.5718763899773368,1.0
COD,seasonal_naive_52,-,-,28.38006155542963,24.151854500052213,8.062289006991628,4.673387096774194,-1.400426911645502,0.767135111092284,1.0
NH3N,naive_persistence,-,-,33.24621484199902,21.888435079540425,2.5232787170407804,2.177419354838709,0.3420833333333333,0.8185787048265825,1.0
NH3N,seasonal_naive_52,-,-,44.29448024479375,29.29996958532952,3.75,3.040322580645161,-0.453125,1.1429784137763763,0.0
NO3N,naive_persistence,-,-,5.862459262728567,6.26583095509716,0.1176037633806432,0.0451612903225806,0.1427074094977023,0.1710654936461388,1.0
NO3N,seasonal_naive_52,-,-,5.217297972405986,6.628075034240615,0.1350776359799633,0.0459677419354838,-0.1309763766830605,0.1741202346041055,1.0
TSS,naive_persistence,-,-,51.39139086719732,43.410373633084106,1.5080429530975226,1.1290322580645162,0.2682069311903566,0.7628596338273759,1.0
TSS,seasonal_naive_52,-,-,82.49441418796259,61.45783852065685,3.6024745079799194,2.056451612903226,-3.176021262347229,1.3894943330427203,0.0
BOD,ARIMA,"(1, 0, 0)",-,37.9317545414356,29.092880151749217,1.2095414018211756,1.0282086119268714,0.1440281418487227,0.687305221876251,1.0
COD,ARIMA,"(0, 1, 1)",-,32.81281974299239,30.063276672963784,5.834998177958106,4.986456942216202,-0.25734139039092985,0.818525433719009,1.0
NH3N,ARIMA,"(0, 1, 2)",-,48.205288383761406,21.93131215167852,2.8752425773607255,2.2098199183683915,0.14574127920431224,0.8307593678076659,1.0
NO3N,ARIMA,"(0, 0, 0)",-,29.796050682259274,26.643756358438893,0.16723640515029234,0.1607873769144004,-0.7335975241149151,0.6090430943727287,1.0
TSS,ARIMA,"(0, 1, 2)",-,70.23722356177761,52.69666338638322,1.5499393990455437,1.2199054619713958,0.22698075766756132,0.8242604472779702,1.0
BOD,SARIMAX,"(1, 1, 2)","(1, 0, 1, 52)",46.383444497069334,34.40519522387517,1.6224829484055625,1.2809786912029202,-0.5402041595555565,0.8562691786115777,1.0
COD,SARIMAX,"(2, 1, 2)","(1, 0, 1, 52)",35.23637898542351,31.647785996278603,6.958979804421867,5.3550977028077265,-0.7883928094979049,0.8790377056480182,1.0
NH3N,SARIMAX,"(0, 1, 2)","(1, 0, 1, 52)",45.459251326183065,21.594523467412124,2.819976167230473,2.1655904667362216,0.17826588967938672,0.8141317544121134,1.0
NO3N,SARIMAX,"(2, 0, 0)","(1, 0, 1, 52)",6.69319536996291,7.045617514587193,0.1303570756415925,0.049085055513867354,-0.053309131674890375,0.1859282405828309,1.0
TSS,SARIMAX,"(0, 1, 2)","(1, 0, 1, 52)",85.72337331592792,63.62133233161818,1.9390015672572478,1.4821892191052646,-0.20981005249986495,1.0014792020981518,0.0
